,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Adam Wainwright,0,Busch Stadium,15,425794,3.27,8.29,7.28,1.19,.245,0.5,0.25,0.5,0.0,0.5,0.0,True
1,9777,Nolan Arenado,STL,31,0.303,0.37,0.57,0.812,571448,138,Frankie Montas,1,Busch Stadium,15,593423,9.00,11.25,6.75,1.88,.313,0.0,0.333,0.667,0.333,0.333,0.5,True
2,9218,Paul Goldschmidt,STL,34,0.331,0.414,0.619,0.768,502671,138,Frankie Montas,1,Busch Stadium,15,593423,9.00,11.25,6.75,1.88,.313,0.5,1.0,0.0,0.25,0.5,0.667,False
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Yu Darvish,1,Dodger Stadium,17,506433,3.40,7.38,9.04,1.01,.220,0.375,0.0,0.5,0.25,0.0,0.2,True
4,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Cristian Javier,1,Progressive Field,7,664299,3.14,6.19,11.84,1.05,.191,0.5,0.5,0.333,0.0,0.333,0.25,True
5,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Tyler Anderson,0,Dodger Stadium,17,542881,2.72,7.21,7.14,1.00,.219,0.167,0.25,0.333,0.25,0.75,0.0,False
6,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Spencer Strider,1,Citi Field,22,675911,3.11,6.02,13.85,1.05,.185,0.4,0.333,0.75,0.4,0.0,0.333,True
7,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Triston McKenzie,0,Progressive Field,7,663474,3.14,6.35,8.29,0.97,.198,0.2,0.0,0.4,0.5,0.0,0.25,False
8,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Jacob deGrom,0,Citi Field,22,594798,1.62,3.24,15.12,0.42,.109,0.16,0.0,0.0,0.4,0.0,0.25,True
9,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Jacob deGrom,0,Citi Field,22,594798,1.62,3.24,15.12,0.42,.109,0.25,0.5,0.0,0.25,0.0,0.25,True
10,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Yu Darvish,1,Dodger Stadium,17,506433,3.40,7.38,9.04,1.01,.220,0.15,0.6,0.5,0.2,0.0,0.6,True
11,17350,Rafael Devers,BOS,25,0.307,0.364,0.577,0.733,646240,111,Brad Keller,0,Kauffman Stadium,5,641745,4.93,9.42,6.11,1.43,.268,0.143,0.0,0.0,0.333,0.0,0.5,True
12,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Yu Darvish,1,Dodger Stadium,17,506433,3.40,7.38,9.04,1.01,.220,0.429,0.25,0.4,0.25,0.0,0.25,True
13,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Brad Keller,0,Kauffman Stadium,5,641745,4.93,9.42,6.11,1.43,.268,0.375,0.0,0.8,0.0,0.25,0.0,True
14,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Cristian Javier,1,Progressive Field,7,664299,3.14,6.19,11.84,1.05,.191,0.0,0.5,0.0,0.0,0.5,0.8,True
15,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Adam Wainwright,0,Busch Stadium,15,425794,3.27,8.29,7.28,1.19,.245,0.071,0.0,0.0,0.0,0.4,0.75,True
16,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Lucas Giolito,1,Globe Life Field,14,608337,4.92,10.01,10.09,1.49,.284,0.5,0.333,0.25,0.5,0.0,0.2,False
17,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Triston McKenzie,0,Progressive Field,7,663474,3.14,6.35,8.29,0.97,.198,0.5,0.0,0.6,0.5,1.0,0.4,False
18,14161,Byron Buxton,MIN,28,0.223,0.303,0.545,0.685,621439,142,Kevin Gausman,1,Target Field,26,592332,2.91,9.56,10.48,1.23,.270,0.143,0.25,0.0,0.333,0.0,0.667,False
20,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Yu Darvish,1,Dodger Stadium,17,506433,3.40,7.38,9.04,1.01,.220,0.2,1.0,0.75,0.333,0.2,0.4,False
21,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Spencer Strider,1,Citi Field,22,675911,3.11,6.02,13.85,1.05,.185,0.0,0.4,0.4,0.25,0.6,0.25,True
