,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.25,0.25,0.75,0.25,0.5,0.0,True
1,1,1,1,1,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Tarik Skubal,1,Progressive Field,7,669373,3.52,7.95,8.95,1.16,0.237,0.444,0.25,0.0,0.25,0.0,0.4,True
2,2,2,2,2,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.571,0.25,0.333,0.0,0.25,0.0,True
3,3,3,3,3,6,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.222,0.4,0.0,0.25,0.0,0.75,False
4,4,4,4,4,7,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.5,0.25,0.75,0.0,0.25,0.5,True
5,5,5,5,5,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Robbie Ray,1,Fenway Park,3,592662,3.96,7.63,10.34,1.19,0.229,0.5,0.2,0.667,0.75,0.25,0.75,False
6,6,6,6,6,9,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.25,0.25,0.5,0.333,0.333,True
7,7,7,7,7,10,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Robbie Ray,1,Fenway Park,3,592662,3.96,7.63,10.34,1.19,0.229,0.273,0.2,0.25,0.0,0.5,0.333,False
8,8,8,8,8,11,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Julio Urias,1,Citizens Bank Park,16,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.0,0.25,0.0,0.0,0.0,True
9,9,9,9,9,13,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Martin Perez,1,Minute Maid Park,32,527048,2.85,7.94,7.81,1.18,0.235,0.295,0.8,0.25,0.25,0.25,0.4,False
10,10,10,10,10,15,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Cristian Javier,0,Minute Maid Park,32,664299,3.14,6.19,11.84,1.05,0.191,0.2,0.25,0.333,0.5,0.25,0.333,True
11,11,11,11,11,17,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Daniel Lynch,0,Kauffman Stadium,5,663738,4.79,10.13,9.36,1.52,0.279,0.333,0.0,0.2,0.25,0.333,0.0,False
12,12,12,12,12,18,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Ranger Suarez,0,Citizens Bank Park,16,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.25,0.25,0.0,0.25,0.333,True
13,13,13,13,13,22,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Humberto Castellanos,1,Wrigley Field,24,528748,5.68,10.15,6.5,1.4,0.289,0.0,0.0,0.0,0.0,0.4,0.0,False
14,14,14,14,14,23,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Martin Perez,1,Minute Maid Park,32,527048,2.85,7.94,7.81,1.18,0.235,0.143,0.0,0.25,0.0,0.0,0.0,True
15,15,15,15,15,24,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Martin Perez,1,Minute Maid Park,32,527048,2.85,7.94,7.81,1.18,0.235,0.5,0.333,0.0,0.4,0.0,0.4,True
16,16,16,16,16,25,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.167,0.25,0.333,0.25,0.25,0.0,True
17,17,17,17,17,26,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Kyle Hendricks,0,Wrigley Field,24,543294,4.8,9.07,7.04,1.29,0.26,0.333,0.25,0.4,0.25,0.0,0.25,True
18,18,18,18,18,27,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Adam Wainwright,1,PNC Park,10,425794,3.42,8.64,7.24,1.24,0.253,0.0,0.2,0.0,0.0,0.0,0.5,True
19,19,19,19,19,28,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Julio Urias,1,Citizens Bank Park,16,628711,2.49,6.97,8.58,0.97,0.21,0.25,0.5,0.333,0.0,0.25,0.75,False
20,20,20,20,20,29,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Humberto Castellanos,1,Wrigley Field,24,528748,5.68,10.15,6.5,1.4,0.289,0.0,0.0,0.333,0.25,1.0,0.0,False
21,21,21,21,21,30,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Michael Wacha,0,Fenway Park,3,608379,2.69,7.17,6.4,1.11,0.215,0.379,0.4,0.25,0.25,0.333,0.0,True
22,22,22,22,22,31,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Michael Wacha,0,Fenway Park,3,608379,2.69,7.17,6.4,1.11,0.215,0.833,0.25,0.6,0.0,0.0,0.4,True
23,23,23,23,23,32,19287,Adolis Garcia,TEX,29,0.248,0.298,0.456,0.677,666969,140,Cristian Javier,0,Minute Maid Park,32,664299,3.14,6.19,11.84,1.05,0.191,0.143,0.25,0.0,0.667,0.25,0.5,False
24,24,24,24,24,34,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Paul Blackburn,1,Angel Stadium,4,621112,4.28,8.89,7.19,1.26,0.255,0.667,0.0,0.2,0.25,0.667,0.5,False
25,25,25,25,25,37,16578,Yandy Diaz,TBR,30,0.277,0.392,0.393,0.873,650490,139,Tyler Wells,0,Oriole Park at Camden Yards,30,669330,3.9,7.8,6.46,1.11,0.232,0.0,0.75,0.5,0.0,0.333,0.0,True
26,26,26,26,26,38,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Tarik Skubal,1,Progressive Field,7,669373,3.52,7.95,8.95,1.16,0.237,0.0,0.333,0.0,0.25,0.0,0.4,True
27,27,27,27,27,39,12533,Marcus Semien,TEX,31,0.239,0.298,0.403,0.8079999999999999,543760,140,Cristian Javier,0,Minute Maid Park,32,664299,3.14,6.19,11.84,1.05,0.191,0.0,0.25,0.6,0.0,0.333,0.25,True
28,28,28,28,28,40,13419,Christian Walker,ARI,31,0.21,0.31,0.459,0.7709999999999999,572233,109,Kyle Hendricks,0,Wrigley Field,24,543294,4.8,9.07,7.04,1.29,0.26,0.4,0.0,0.0,0.5,0.333,0.333,True
29,29,29,29,29,42,17929,Cedric Mullins II,BAL,27,0.261,0.321,0.39,0.816,656775,110,Jalen Beeks,1,Oriole Park at Camden Yards,30,656222,2.35,7.24,10.76,1.2,0.219,0.25,0.0,0.25,0.25,0.0,0.0,True
30,30,30,30,30,43,14344,Matt Olson,ATL,28,0.248,0.338,0.48,0.738,621566,144,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.0,0.5,0.0,0.0,0.25,0.25,False
31,31,31,31,31,45,5827,Wilmer Flores,SFG,30,0.251,0.334,0.444,0.8290000000000001,527038,137,Sean Manaea,1,Oracle Park,9,640455,4.74,8.53,9.32,1.32,0.247,0.385,0.25,0.25,0.0,0.25,1.0,True
