,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Kyle Gibson,0,Citizens Bank Park,16,502043,4.36,8.01,6.85,1.17,0.238,0.0,1.0,0.0,0.5,0.0,0.2,True
1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Yu Darvish,1,Dodger Stadium,17,506433,3.28,7.24,8.84,1.0,0.217,0.308,0.25,0.0,0.5,0.4,0.25,True
2,2,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Gerrit Cole,1,Progressive Field,7,543037,3.38,7.03,11.58,1.02,0.211,0.357,0.25,0.2,0.25,0.25,0.0,True
3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Tyler Mahle,0,Great American Ball Park,8,641816,6.0,7.5,7.5,1.0,0.238,0.125,0.8,0.0,0.0,0.0,0.167,True
4,4,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Tyler Anderson,0,Dodger Stadium,17,542881,2.72,7.21,7.14,1.0,0.219,0.188,0.0,0.25,0.0,0.5,0.25,True
5,5,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Martin Perez,1,Citi Field,22,527048,2.85,7.94,7.81,1.18,0.235,0.3,0.333,0.0,0.0,0.0,0.4,True
6,6,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Tyler Mahle,0,Great American Ball Park,8,641816,6.0,7.5,7.5,1.0,0.238,0.8,0.5,0.75,0.0,0.25,0.0,True
7,7,9,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Yu Darvish,1,Dodger Stadium,17,506433,3.28,7.24,8.84,1.0,0.217,0.455,0.4,0.0,0.2,0.2,0.0,True
8,8,10,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Patrick Sandoval,1,Minute Maid Park,32,663776,3.41,9.0,9.66,1.47,0.259,0.0,0.333,0.0,0.0,0.0,0.333,True
9,9,11,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Gerrit Cole,1,Progressive Field,7,543037,3.38,7.03,11.58,1.02,0.211,0.143,0.25,0.25,0.0,0.0,0.333,True
10,10,12,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Trevor Williams,0,Citi Field,22,592866,3.16,8.19,8.19,1.16,0.239,0.4,0.0,0.0,0.5,0.2,0.333,True
11,11,13,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Martin Perez,1,Citi Field,22,527048,2.85,7.94,7.81,1.18,0.235,0.5,0.0,0.25,0.333,0.5,0.6,True
12,12,14,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Jordan Lyles,1,Target Field,26,543475,4.35,10.01,7.25,1.44,0.279,0.333,0.25,0.0,0.0,0.4,0.0,False
13,13,15,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Yu Darvish,1,Dodger Stadium,17,506433,3.28,7.24,8.84,1.0,0.217,0.143,0.333,0.0,0.4,0.0,0.333,True
