,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Bruce Zimmermann,0.0,Oriole Park at Camden Yards,30.0,669145,5.85,11.84,6.12,1.48,0.322,0.444,0.0,0.8,0.0,0.333,0.667,True
1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Chris Bassitt,0.0,Citi Field,22.0,605135,3.39,7.75,8.93,1.12,0.23,0.667,0.5,0.0,0.0,0.333,0.5,False
2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Chris Bassitt,0.0,Citi Field,22.0,605135,3.39,7.75,8.93,1.12,0.23,0.25,0.2,0.6,0.25,0.75,0.25,True
3,3,3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Tyler Mahle,1.0,Progressive Field,7.0,641816,6.0,7.5,7.5,1.0,0.238,0.375,0.0,0.25,0.0,0.4,0.25,True
4,4,4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Glenn Otto,1.0,Minute Maid Park,32.0,657248,5.31,8.19,7.38,1.41,0.247,0.5,0.0,0.5,0.0,0.0,0.0,False
5,5,5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Kyle Gibson,0.0,Citizens Bank Park,16.0,502043,4.36,8.01,6.85,1.17,0.238,0.292,0.25,0.25,0.0,0.0,0.5,True
6,6,6,6,6,6,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Yu Darvish,1.0,Citizens Bank Park,16.0,506433,3.28,7.24,8.84,1.0,0.217,0.286,0.25,0.0,0.0,0.0,0.5,False
7,7,7,7,7,7,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Bruce Zimmermann,0.0,Oriole Park at Camden Yards,30.0,669145,5.85,11.84,6.12,1.48,0.322,0.444,0.25,0.0,0.0,0.25,0.0,True
8,8,8,8,8,8,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Chris Bassitt,0.0,Citi Field,22.0,605135,3.39,7.75,8.93,1.12,0.23,0.0,0.0,0.333,0.25,0.2,0.25,True
9,9,9,9,9,9,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Glenn Otto,1.0,Minute Maid Park,32.0,657248,5.31,8.19,7.38,1.41,0.247,0.0,0.25,0.25,0.25,0.4,0.25,True
10,10,10,10,10,10,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Tyler Mahle,1.0,Progressive Field,7.0,641816,6.0,7.5,7.5,1.0,0.238,1.0,0.25,0.333,0.25,0.25,0.0,False
11,11,11,11,11,11,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Framber Valdez,0.0,Minute Maid Park,32.0,664285,2.87,7.13,8.0,1.15,0.217,0.667,0.333,0.5,0.25,0.333,0.25,True
12,12,12,12,12,12,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Dakota Hudson,1.0,Citi Field,22.0,641712,4.2,8.57,4.8,1.39,0.262,0.0,0.25,0.0,0.25,0.4,0.25,True
13,13,13,13,13,13,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Dakota Hudson,1.0,Citi Field,22.0,641712,4.2,8.57,4.8,1.39,0.262,0.0,0.4,0.5,0.25,0.25,0.0,True
14,14,14,14,14,14,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Carlos Hernandez,0.0,Kauffman Stadium,5.0,672578,9.09,13.9,4.81,2.14,0.359,0.333,0.25,0.667,0.333,0.0,0.25,False
15,15,15,15,15,16,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Dakota Hudson,1.0,Citi Field,22.0,641712,4.2,8.57,4.8,1.39,0.262,0.4,0.5,0.0,0.0,0.2,0.333,True
16,16,16,16,16,17,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Zac Gallen,1.0,Wrigley Field,24.0,668678,3.12,6.62,8.67,1.02,0.203,0.4,0.0,0.0,0.4,0.0,0.0,False
17,17,17,17,17,19,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Glenn Otto,1.0,Minute Maid Park,32.0,657248,5.31,8.19,7.38,1.41,0.247,0.2,0.25,0.0,0.0,0.0,0.333,False
18,18,18,18,18,20,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Glenn Otto,1.0,Minute Maid Park,32.0,657248,5.31,8.19,7.38,1.41,0.247,0.167,0.0,0.4,0.0,0.4,0.0,True
