,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,15640,Aaron Judge,NYY,30,0.305,0.4,0.688,0.736,592450,147,Zack Greinke,1,Yankee Stadium,6,425844,4.29,10.22,5.20,1.34,.284,0.167,0.667,0.6,0.333,0.0,0.5,False
1,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.278,0.5,0.0,0.333,0.5,0.333,True
2,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Dylan Bundy,1,Petco Park,31,605164,4.76,9.43,6.86,1.26,.265,0.5,0.2,0.25,0.0,0.4,0.0,False
3,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Pablo Lopez,0,loanDepot park,20,641154,3.55,7.72,8.98,1.14,.230,0.167,0.75,0.5,0.333,0.5,0.4,True
4,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Merrill Kelly,1,Truist Park,12,518876,2.95,7.47,7.54,1.14,.225,0.0,0.25,0.5,0.5,0.6,0.0,True
5,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Merrill Kelly,1,Truist Park,12,518876,2.95,7.47,7.54,1.14,.225,0.667,0.25,0.75,0.0,0.667,0.5,True
6,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.353,0.0,0.333,0.333,0.667,0.2,True
7,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.308,0.25,0.2,0.75,0.25,0.5,True
8,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Zack Greinke,1,Yankee Stadium,6,425844,4.29,10.22,5.20,1.34,.284,0.295,0.6,0.0,0.5,0.0,0.2,True
10,14161,Byron Buxton,MIN,28,0.223,0.303,0.545,0.685,621439,142,Sean Manaea,0,Petco Park,31,640455,4.76,8.62,9.23,1.33,.249,0.333,0.667,0.333,0.0,0.4,0.0,False
11,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,JT Brubaker,0,PNC Park,10,664141,4.45,9.85,9.29,1.50,.271,0.0,1.0,0.0,0.5,0.333,0.25,True
12,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.125,0.25,0.667,0.4,0.0,0.0,True
13,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Pablo Lopez,0,loanDepot park,20,641154,3.55,7.72,8.98,1.14,.230,0.417,0.5,0.2,0.0,0.25,0.0,True
14,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Pablo Lopez,0,loanDepot park,20,641154,3.55,7.72,8.98,1.14,.230,0.294,0.2,0.4,0.2,0.0,0.2,True
15,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.96,6.44,12.17,1.14,.196,0.5,0.25,0.0,0.0,0.25,0.667,False
16,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Pablo Lopez,0,loanDepot park,20,641154,3.55,7.72,8.98,1.14,.230,0.154,0.0,0.0,0.333,1.0,0.667,True
17,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,German Marquez,0,Coors Field,1,608566,5.08,9.66,7.33,1.42,.273,0.364,0.0,0.0,0.6,0.75,0.0,False
18,11609,Willson Contreras,CHC,30,0.25,0.362,0.457,0.711,575929,112,Carlos Rodon,0,Oracle Park,9,607074,2.95,6.97,11.26,1.06,.211,0.286,0.4,0.0,0.0,0.25,0.333,False
19,10815,Jurickson Profar,SDP,29,0.254,0.345,0.416,0.831,595777,135,Dylan Bundy,1,Petco Park,31,605164,4.76,9.43,6.86,1.26,.265,0.125,0.4,0.0,0.5,0.0,0.667,True
21,18568,Luis Arraez,MIN,25,0.332,0.398,0.442,0.9329999999999999,650333,142,Sean Manaea,0,Petco Park,31,640455,4.76,8.62,9.23,1.33,.249,0.333,0.2,0.667,0.0,0.0,0.25,True
