,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Sean Manaea,1.0,Dodger Stadium,17.0,640455,4.76,8.62,9.23,1.33,.249,0.333,0.25,0.0,0.2,0.6,0.6,True
1,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Framber Valdez,1.0,Progressive Field,7.0,664285,2.73,7.04,8.11,1.13,.215,0.571,0.0,0.333,0.25,0.0,0.2,True
2,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Tony Gonsolin,0.0,Dodger Stadium,17.0,664062,2.24,5.49,8.12,0.89,.173,0.222,0.25,0.75,0.0,0.0,0.25,True
3,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Ian Anderson,1.0,Citi Field,22.0,666120,5.00,9.27,7.82,1.51,.264,0.111,0.0,0.333,0.333,0.2,0.6,True
4,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Taijuan Walker,0.0,Citi Field,22.0,592836,3.43,8.24,6.93,1.20,.242,0.0,0.0,0.25,0.75,0.25,0.25,True
5,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Taijuan Walker,0.0,Citi Field,22.0,592836,3.43,8.24,6.93,1.20,.242,0.5,0.0,0.25,0.25,0.5,0.25,True
6,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Sean Manaea,1.0,Dodger Stadium,17.0,640455,4.76,8.62,9.23,1.33,.249,0.368,0.2,0.0,0.6,0.2,0.2,True
7,17350,Rafael Devers,BOS,25,0.307,0.364,0.577,0.733,646240,111,Zack Greinke,0.0,Kauffman Stadium,5.0,425844,4.29,10.22,5.20,1.34,.284,0.5,0.333,0.0,0.5,0.333,0.0,False
8,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Sean Manaea,1.0,Dodger Stadium,17.0,640455,4.76,8.62,9.23,1.33,.249,0.333,0.25,0.0,0.25,0.333,0.2,True
9,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Zack Greinke,0.0,Kauffman Stadium,5.0,425844,4.29,10.22,5.20,1.34,.284,0.5,0.0,0.25,0.0,0.4,0.333,True
10,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Dakota Hudson,0.0,Busch Stadium,15.0,641712,4.17,8.51,5.07,1.40,.261,1.0,0.0,0.4,0.75,0.4,0.6,False
