,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
42,42,42,42,42,42,46,12144,Max Kepler,MIN,29,0.233,0.331,0.373,0.813,596146,142,Nick Pivetta,0,Fenway Park,3,601713,4.51,8.73,8.66,1.33,0.253,0.5,0.0,0.667,0.0,0.25,0.0,True
43,43,43,43,43,43,48,15491,J.P. Crawford,SEA,27,0.255,0.331,0.354,0.875,641487,136,Jake Odorizzi,1,T-Mobile Park,27,543606,3.86,11.57,7.71,1.93,0.316,0.167,0.4,0.75,0.333,0.25,0.5,True
44,44,44,44,44,44,49,5038,Josh Donaldson,NYY,36,0.228,0.31,0.401,0.705,518626,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,0.279,0.75,0.0,0.2,0.0,0.0,0.2,True
45,45,45,45,45,45,50,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Jordan Montgomery,1,Oriole Park at Camden Yards,30,656756,0.0,3.6,1.8,0.6,0.125,0.167,0.0,0.333,0.0,0.333,0.0,True
46,46,46,46,46,46,51,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Pablo Lopez,0,loanDepot park,20,641154,3.57,7.79,9.1,1.16,0.232,0.286,1.0,0.0,0.0,1.0,1.0,True
47,47,47,47,47,47,52,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,Zach Eflin,1,loanDepot park,20,621107,4.37,8.74,7.41,1.19,0.251,0.125,0.333,0.25,0.0,0.5,0.25,True
48,48,48,48,48,48,53,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,Tarik Skubal,1,Kauffman Stadium,5,669373,3.52,7.95,8.95,1.16,0.237,0.0,0.0,0.25,0.25,1.0,0.333,True
49,49,49,49,49,49,54,17620,Myles Straw,CLE,27,0.214,0.292,0.272,0.892,664702,114,Carlos Rodon,1,Progressive Field,7,607074,2.95,6.87,11.29,1.07,0.209,0.0,0.8,0.333,0.25,0.2,0.0,False
50,50,50,50,50,50,55,19238,Lourdes Gurriel Jr.,TOR,28,0.309,0.361,0.421,0.797,666971,141,Daulton Jefferies,1,Rogers Centre,2,641726,5.72,10.53,6.41,1.37,0.286,0.0,0.333,0.333,0.0,0.25,0.25,True
51,51,51,51,51,51,56,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,0.0,0.0,0.0,0.0,0.0,0.2,True
52,52,52,52,52,52,57,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Jordan Montgomery,1,Oriole Park at Camden Yards,30,656756,0.0,3.6,1.8,0.6,0.125,0.286,0.25,0.2,0.0,0.5,0.5,False
53,53,53,53,53,53,58,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Zach Davies,1,Citi Field,22,605200,4.03,7.86,6.83,1.22,0.233,0.214,0.5,0.0,0.333,0.25,0.333,True
54,54,54,54,54,54,59,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Brad Keller,0,Kauffman Stadium,5,641745,4.45,8.97,6.03,1.37,0.259,0.111,0.0,0.2,0.25,0.25,0.0,False
55,55,55,55,55,55,60,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Zach Eflin,1,loanDepot park,20,621107,4.37,8.74,7.41,1.19,0.251,0.344,0.0,0.0,0.0,0.0,0.25,True
56,56,56,56,56,56,61,14813,Kyle Farmer,CIN,31,0.252,0.326,0.368,0.8240000000000001,571657,113,Tony Gonsolin,0,Dodger Stadium,17,664062,2.3,5.66,8.37,0.89,0.178,0.0,0.0,0.0,0.5,0.667,0.0,True
57,57,57,57,57,57,64,13590,Jesse Winker,SEA,28,0.229,0.348,0.363,0.815,608385,136,Jake Odorizzi,1,T-Mobile Park,27,543606,3.86,11.57,7.71,1.93,0.316,0.0,0.0,0.0,0.333,0.0,0.0,True
58,58,58,58,58,58,65,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,0.279,0.333,1.0,0.0,0.0,0.333,0.0,False
59,59,59,59,59,59,66,7859,Charlie Blackmon,COL,35,0.263,0.314,0.446,0.816,453568,115,Marcus Stroman,1,Coors Field,1,573186,4.2,8.17,8.39,1.16,0.239,0.25,0.0,0.4,0.0,0.0,0.2,True
60,60,60,60,60,60,68,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,Miles Mikolas,1,American Family Field,18,571945,3.5,8.09,6.88,1.09,0.239,0.0,0.25,0.0,0.5,0.25,0.0,True
61,61,61,61,61,61,69,15117,Hunter Dozier,KCR,30,0.245,0.309,0.411,0.733,641531,118,Tarik Skubal,1,Kauffman Stadium,5,669373,3.52,7.95,8.95,1.16,0.237,0.1,0.75,0.0,0.5,0.25,0.0,False
62,62,62,62,62,62,70,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,Zach Eflin,1,loanDepot park,20,621107,4.37,8.74,7.41,1.19,0.251,0.462,0.333,0.0,0.0,0.0,0.2,True
63,63,63,63,63,63,71,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Mitch Keller,0,PNC Park,10,656605,4.21,9.59,7.4,1.42,0.274,0.4,0.25,0.5,0.25,0.4,0.0,True
64,64,64,64,64,64,72,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.278,0.0,0.25,0.25,0.0,0.0,True
65,65,65,65,65,65,73,1744,Miguel Cabrera,DET,39,0.268,0.317,0.331,0.7440000000000001,408234,116,Brad Keller,0,Kauffman Stadium,5,641745,4.45,8.97,6.03,1.37,0.259,0.412,0.75,0.0,0.0,0.667,0.0,True
