,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.667,0.25,0.4,0.333,0.0,0.333,True
1,1,1,1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.438,0.333,0.25,0.0,0.5,0.75,True
2,2,2,2,2,2,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.0,0.0,0.4,0.2,0.25,0.2,False
3,3,3,3,3,3,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.0,0.0,0.25,0.4,0.25,0.4,False
4,4,4,4,4,4,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.286,0.25,0.5,0.25,0.0,0.0,True
5,5,5,5,5,5,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Tyler Anderson,0.0,Dodger Stadium,17.0,542881,2.72,7.21,7.14,1.0,0.219,0.143,0.0,0.4,0.25,0.2,0.0,True
6,6,6,6,6,6,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.333,0.5,0.25,0.0,0.0,0.25,True
7,7,7,7,7,7,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.238,0.4,0.25,0.333,0.5,0.667,False
8,8,8,8,8,8,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.5,0.6,0.25,0.667,0.333,0.2,True
9,9,9,9,9,9,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.0,0.25,0.2,0.0,0.5,0.0,True
10,10,10,10,10,10,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.0,0.25,0.667,0.0,0.0,0.667,False
11,11,11,11,11,11,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.333,0.5,0.5,0.0,0.6,0.5,False
12,12,12,12,12,12,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.8,0.25,0.4,0.0,0.667,0.0,False
13,13,13,13,13,13,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.25,0.5,0.667,0.333,0.0,0.0,False
14,14,14,14,14,14,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Connor Overton,1.0,PNC Park,10.0,656818,1.82,5.47,3.65,0.89,0.185,0.333,0.0,0.5,0.6,0.25,0.6,True
15,15,15,15,15,15,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Tyler Anderson,0.0,Dodger Stadium,17.0,542881,2.72,7.21,7.14,1.0,0.219,0.333,0.5,0.25,0.6,0.25,0.0,True
16,16,16,16,16,16,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.4,0.333,0.0,0.25,0.0,0.333,True
17,17,17,17,17,17,9241,Starling Marte,NYM,33,0.292,0.344,0.458,0.775,516782,121,Joan Adon,0.0,Nationals Park,29.0,672851,7.1,10.58,7.65,1.78,0.29,0.0,0.25,0.0,0.667,0.0,0.6,False
18,18,18,18,18,18,17929,Cedric Mullins II,BAL,27,0.261,0.321,0.39,0.816,656775,110,Steven Matz,0.0,Busch Stadium,15.0,571927,5.7,9.91,10.76,1.31,0.269,0.182,0.333,0.8,0.0,0.4,0.2,True
19,19,19,19,19,19,17273,Jorge Mateo,BAL,27,0.218,0.267,0.391,0.6970000000000001,622761,110,Steven Matz,0.0,Busch Stadium,15.0,571927,5.7,9.91,10.76,1.31,0.269,0.25,0.25,0.25,0.25,0.25,0.25,True
20,20,20,20,20,20,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Tyler Anderson,0.0,Dodger Stadium,17.0,542881,2.72,7.21,7.14,1.0,0.219,0.25,0.0,0.0,0.0,0.5,0.25,True
21,21,21,21,21,21,14551,Anthony Santander,BAL,27,0.262,0.342,0.463,0.805,623993,110,Steven Matz,0.0,Busch Stadium,15.0,571927,5.7,9.91,10.76,1.31,0.269,0.286,0.333,0.6,0.333,0.0,0.25,False
22,22,22,22,22,22,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.5,0.5,0.0,0.0,0.5,0.0,True
23,23,23,23,23,23,19326,Bryan Reynolds,PIT,27,0.257,0.343,0.449,0.752,668804,134,Connor Overton,1.0,PNC Park,10.0,656818,1.82,5.47,3.65,0.89,0.185,0.0,0.0,0.333,0.5,0.333,0.0,False
24,24,24,24,24,24,5038,Josh Donaldson,NYY,36,0.228,0.31,0.401,0.705,518626,147,Dylan Cease,0.0,Guaranteed Rate Field,23.0,656302,1.98,6.53,12.18,1.16,0.198,0.2,0.0,0.333,0.25,0.333,0.2,True
25,25,25,25,25,25,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Steven Matz,0.0,Busch Stadium,15.0,571927,5.7,9.91,10.76,1.31,0.269,0.364,0.0,0.0,0.667,1.0,0.333,False
26,26,26,26,26,26,5235,Justin Turner,LAD,37,0.26,0.334,0.41,0.8220000000000001,457759,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.5,0.0,0.8,0.0,0.0,0.0,True
27,27,27,27,27,27,15998,Cody Bellinger,LAD,26,0.212,0.269,0.405,0.759,641355,119,Zack Wheeler,1.0,Dodger Stadium,17.0,554430,2.63,7.25,9.73,1.03,0.218,0.364,0.0,0.2,0.0,0.75,0.0,True
28,28,28,28,28,28,19610,Keibert Ruiz,WSN,23,0.247,0.307,0.359,0.86,660688,120,Taijuan Walker,1.0,Nationals Park,29.0,592836,3.45,8.28,6.9,1.19,0.242,0.333,0.5,0.333,0.0,0.4,0.75,False
29,29,29,29,29,29,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,Taylor Hearn,0.0,Globe Life Field,14.0,621368,5.21,10.17,8.48,1.59,0.28,1.0,0.25,0.0,0.333,0.0,0.0,False
