,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Corey Kluber,0,Tropicana Field,21,446372,4.05,9.08,8.03,1.15,0.26,0.25,0.0,0.333,0.25,0.0,0.667,True
1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Adrian Houser,1,Busch Stadium,15,605288,4.72,9.67,6.72,1.48,0.271,0.2,0.0,0.0,0.0,0.75,0.5,False
2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Adrian Houser,1,Busch Stadium,15,605288,4.72,9.67,6.72,1.48,0.271,0.25,0.25,0.5,0.667,0.2,0.8,True
3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Merrill Kelly,0,Chase Field,13,518876,2.86,7.48,7.41,1.13,0.226,0.5,0.25,0.8,0.0,0.0,0.6,False
4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Alex Faedo,0,Comerica Park,25,656412,5.53,10.57,7.38,1.64,0.293,0.0,0.25,0.333,0.5,0.4,0.0,True
5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Sandy Alcantara,1,Truist Park,12,645261,1.88,6.14,8.01,0.93,0.195,0.294,0.0,0.25,0.8,0.75,0.5,True
6,6,6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Logan Gilbert,0,T-Mobile Park,27,669302,3.47,8.57,8.3,1.23,0.248,0.143,0.5,0.0,0.25,0.0,0.25,False
7,7,7,7,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Zach Eflin,1,Citi Field,22,621107,4.37,8.74,7.41,1.19,0.251,0.1,0.5,0.5,0.5,0.2,0.5,True
8,8,8,8,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Sandy Alcantara,1,Truist Park,12,645261,1.88,6.14,8.01,0.93,0.195,0.067,0.25,0.25,0.5,0.5,0.5,True
9,9,9,9,10,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Merrill Kelly,0,Chase Field,13,518876,2.86,7.48,7.41,1.13,0.226,0.333,0.2,0.6,0.0,0.75,0.667,True
10,10,10,10,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Jordan Lyles,1,Fenway Park,3,543475,4.35,10.01,7.25,1.44,0.279,0.125,0.6,0.4,0.2,0.4,0.25,True
11,11,11,11,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Merrill Kelly,0,Chase Field,13,518876,2.86,7.48,7.41,1.13,0.226,0.455,0.5,0.5,0.333,0.25,0.25,True
12,12,12,12,13,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Jordan Lyles,1,Fenway Park,3,543475,4.35,10.01,7.25,1.44,0.279,0.25,0.5,0.2,0.333,0.25,0.0,True
13,13,13,13,14,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Taijuan Walker,0,Citi Field,22,592836,3.45,8.28,6.9,1.19,0.242,0.308,0.0,0.333,0.5,0.333,0.5,True
14,14,14,14,15,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Corey Kluber,0,Tropicana Field,21,446372,4.05,9.08,8.03,1.15,0.26,0.286,0.0,0.0,0.0,0.25,0.4,True
15,15,15,15,16,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Adrian Houser,1,Busch Stadium,15,605288,4.72,9.67,6.72,1.48,0.271,0.214,0.0,0.6,0.25,0.0,0.5,True
16,16,16,16,17,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Logan Gilbert,0,T-Mobile Park,27,669302,3.47,8.57,8.3,1.23,0.248,0.556,0.2,0.25,0.5,0.25,0.5,True
17,17,17,17,18,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Alex Faedo,0,Comerica Park,25,656412,5.53,10.57,7.38,1.64,0.293,0.0,0.25,0.0,0.0,0.0,0.25,True
