,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Alex Cobb,0,Oracle Park,9,502171,4.15,8.87,9.64,1.29,0.253,0.5,0.0,0.5,0.25,0.0,0.25,True
1,1,1,1,1,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Eric Lauer,1,Truist Park,12,641778,3.59,7.75,8.87,1.22,0.23,0.0,0.667,0.25,0.0,0.0,0.667,True
2,2,2,2,2,3,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Sandy Alcantara,1,Petco Park,31,645261,1.88,6.14,8.01,0.93,0.195,0.333,0.667,0.0,0.5,0.2,0.333,True
3,3,3,3,3,5,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Eric Lauer,1,Truist Park,12,641778,3.59,7.75,8.87,1.22,0.23,0.0,0.2,0.0,0.333,0.5,0.5,False
4,4,4,4,4,6,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Vince Velasquez,1,Fenway Park,3,592826,5.21,8.87,8.1,1.33,0.249,0.4,0.25,0.0,0.25,0.4,0.4,True
5,5,5,5,5,7,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Vince Velasquez,1,Fenway Park,3,592826,5.21,8.87,8.1,1.33,0.249,0.333,0.25,0.4,0.0,0.25,0.333,False
6,6,6,6,6,12,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Nathan Eovaldi,0,Fenway Park,3,543135,4.23,9.51,8.94,1.23,0.263,0.167,0.5,0.0,0.333,0.25,0.333,True
7,7,7,7,7,17,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Jesse Chavez,0,Truist Park,12,445926,9.0,12.0,6.0,2.0,0.308,0.5,0.5,0.0,0.25,0.333,0.25,True
8,8,8,8,8,20,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Matt Wisler,1,T-Mobile Park,27,605538,2.36,6.21,7.29,1.02,0.192,0.5,0.25,0.333,0.0,0.0,0.0,True
9,9,9,9,9,21,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Matt Wisler,1,T-Mobile Park,27,605538,2.36,6.21,7.29,1.02,0.192,0.25,0.25,0.0,0.5,0.5,0.25,True
10,10,10,10,10,24,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Sandy Alcantara,1,Petco Park,31,645261,1.88,6.14,8.01,0.93,0.195,0.0,0.0,0.5,0.25,0.0,0.25,False
11,11,11,11,11,26,20043,Luis Robert,CHW,24,0.298,0.334,0.453,0.755,673357,145,Nathan Eovaldi,0,Fenway Park,3,543135,4.23,9.51,8.94,1.23,0.263,0.333,0.667,0.75,0.4,0.25,0.0,True
