,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
24,24,24,24,26,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Adrian Houser,1.0,Petco Park,31.0,605288,4.72,9.67,6.72,1.48,0.271,0.0,0.4,0.0,0.25,0.333,0.25,False
25,25,25,25,27,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Jordan Lyles,1.0,Yankee Stadium,6.0,543475,4.35,10.01,7.25,1.44,0.279,0.28,0.0,0.5,0.0,0.5,0.25,True
26,26,26,26,28,9241,Starling Marte,NYM,33,0.292,0.344,0.458,0.775,516782,121,Alex Cobb,0.0,Oracle Park,9.0,502171,4.15,8.87,9.64,1.29,0.253,0.5,0.4,0.25,0.2,0.75,0.25,True
27,27,27,27,29,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Luis Garcia,0.0,Minute Maid Park,32.0,472610,3.51,8.78,9.44,1.27,0.252,0.25,0.25,0.5,0.333,0.0,0.25,True
28,28,28,28,30,15112,Ryan McMahon,COL,27,0.242,0.339,0.397,0.752,641857,115,JT Brubaker,0.0,PNC Park,10.0,664141,4.49,10.05,9.22,1.52,0.275,0.667,0.0,0.0,0.2,0.5,0.5,False
29,29,29,29,31,13419,Christian Walker,ARI,31,0.21,0.31,0.459,0.7709999999999999,572233,109,Zack Greinke,1.0,Chase Field,13.0,425844,4.58,10.04,5.07,1.33,0.28,0.75,0.0,0.0,0.333,0.0,0.0,True
30,30,30,30,32,17929,Cedric Mullins II,BAL,27,0.261,0.321,0.39,0.816,656775,110,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.267,0.167,0.0,0.4,0.0,0.25,True
31,31,31,31,33,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,JT Brubaker,0.0,PNC Park,10.0,664141,4.49,10.05,9.22,1.52,0.275,0.0,0.25,0.75,0.333,0.25,0.6,False
32,32,32,32,34,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Nick Martinez,0.0,Petco Park,31.0,607259,3.35,8.53,8.1,1.32,0.248,0.667,0.0,0.4,0.5,0.2,0.0,True
33,33,33,33,35,16426,Thairo Estrada,SFG,26,0.269,0.319,0.42,0.813,642731,137,David Peterson,1.0,Oracle Park,9.0,656849,3.3,7.18,10.37,1.28,0.22,0.5,0.333,0.0,0.4,1.0,0.4,False
34,34,34,34,37,13613,Ketel Marte,ARI,28,0.261,0.346,0.445,0.804,606466,109,Zack Greinke,1.0,Chase Field,13.0,425844,4.58,10.04,5.07,1.33,0.28,0.0,0.5,0.2,0.25,1.0,0.5,True
35,35,35,35,39,11445,Mark Canha,NYM,33,0.266,0.366,0.37,0.7909999999999999,592192,121,Alex Cobb,0.0,Oracle Park,9.0,502171,4.15,8.87,9.64,1.29,0.253,0.167,0.25,0.0,0.2,0.667,0.25,True
36,36,36,36,40,17907,Brendan Rodgers,COL,25,0.284,0.334,0.432,0.785,663898,115,JT Brubaker,0.0,PNC Park,10.0,664141,4.49,10.05,9.22,1.52,0.275,0.0,0.5,0.25,0.333,0.25,0.5,True
37,37,37,37,41,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Jordan Lyles,1.0,Yankee Stadium,6.0,543475,4.35,10.01,7.25,1.44,0.279,0.143,0.0,0.0,0.25,0.0,0.25,True
38,38,38,38,43,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,3.98,9.63,5.21,1.39,0.274,0.167,0.0,0.0,0.0,0.0,0.333,True
39,39,39,39,44,19363,Austin Hays,BAL,26,0.261,0.318,0.435,0.777,669720,110,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.333,1.0,0.25,0.2,0.0,0.75,True
40,40,40,40,45,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Tucker Davidson,0.0,Truist Park,12.0,656353,13.5,13.5,2.25,2.75,0.333,0.333,0.2,0.25,0.0,0.25,0.0,True
41,41,41,41,46,5297,Aaron Hicks,NYY,32,0.222,0.348,0.314,0.763,543305,147,Jordan Lyles,1.0,Yankee Stadium,6.0,543475,4.35,10.01,7.25,1.44,0.279,0.0,0.5,0.333,0.0,0.0,0.25,False
42,42,42,42,47,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,Zach Davies,0.0,Chase Field,13.0,605200,4.03,7.86,6.83,1.22,0.233,0.0,0.25,0.0,0.0,0.667,0.25,True
43,43,43,43,48,17620,Myles Straw,CLE,27,0.214,0.292,0.272,0.892,664702,114,Luis Garcia,0.0,Minute Maid Park,32.0,472610,3.51,8.78,9.44,1.27,0.252,0.0,0.0,0.75,0.0,0.333,0.25,True
44,44,44,44,49,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Vladimir Gutierrez,0.0,Great American Ball Park,8.0,661269,7.61,11.29,7.12,1.91,0.313,0.0,0.667,0.25,0.25,0.0,0.0,True
45,45,45,45,50,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.273,0.5,0.0,0.0,0.25,0.8,False
46,46,46,46,51,18564,Trent Grisham,SDP,25,0.192,0.29,0.355,0.772,663757,135,Adrian Houser,1.0,Petco Park,31.0,605288,4.72,9.67,6.72,1.48,0.271,0.667,0.0,0.0,0.2,0.0,0.25,True
47,47,47,47,52,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Alex Cobb,0.0,Oracle Park,9.0,502171,4.15,8.87,9.64,1.29,0.253,0.308,0.0,0.25,0.0,0.0,0.25,True
48,48,48,48,53,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.375,0.333,0.0,0.0,0.25,0.25,True
49,49,49,49,55,12979,Javier Baez,DET,29,0.22,0.262,0.372,0.674,595879,116,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.533,0.25,0.25,0.0,0.25,0.0,True
50,50,50,50,56,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Jordan Lyles,1.0,Yankee Stadium,6.0,543475,4.35,10.01,7.25,1.44,0.279,0.2,0.25,0.0,0.25,0.667,0.0,False
51,51,51,51,57,7859,Charlie Blackmon,COL,35,0.263,0.314,0.446,0.816,453568,115,JT Brubaker,0.0,PNC Park,10.0,664141,4.49,10.05,9.22,1.52,0.275,0.333,0.25,0.0,0.5,0.25,0.2,True
52,52,52,52,58,16572,Connor Joe,COL,29,0.246,0.347,0.363,0.809,656582,115,JT Brubaker,0.0,PNC Park,10.0,664141,4.49,10.05,9.22,1.52,0.275,0.0,0.0,0.6,0.2,1.0,0.0,True
53,53,53,53,59,14894,Tony Kemp,OAK,30,0.212,0.285,0.3,0.8740000000000001,643393,133,Marco Gonzales,0.0,T-Mobile Park,27.0,594835,3.98,9.63,5.21,1.39,0.274,0.364,0.0,0.2,0.25,0.2,0.25,True
54,54,54,54,60,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Tyler Anderson,1.0,Nationals Park,29.0,542881,2.72,7.21,7.14,1.0,0.219,0.5,0.5,0.25,0.0,0.4,0.5,True
55,55,55,55,61,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Triston McKenzie,1.0,Minute Maid Park,32.0,663474,3.16,6.33,8.51,0.96,0.197,0.667,0.25,0.0,0.0,0.0,0.4,False
56,56,56,56,62,4314,Joey Votto,CIN,38,0.215,0.331,0.389,0.725,458015,113,Drew Smyly,1.0,Great American Ball Park,8.0,592767,3.97,9.59,7.13,1.29,0.266,0.1,0.333,0.25,0.25,0.0,0.0,False
57,57,57,57,63,12179,Maikel Franco,WSN,29,0.229,0.256,0.338,0.742,596748,120,Tyler Anderson,1.0,Nationals Park,29.0,542881,2.72,7.21,7.14,1.0,0.219,0.3,0.5,0.25,0.25,0.4,0.25,False
58,58,58,58,64,1744,Miguel Cabrera,DET,39,0.268,0.317,0.331,0.7440000000000001,408234,116,Chris Archer,0.0,Target Field,26.0,502042,4.02,7.01,7.58,1.29,0.212,0.4,0.25,0.0,0.0,0.25,0.667,True
59,59,59,59,65,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Zack Wheeler,1.0,Truist Park,12.0,554430,2.63,7.25,9.73,1.03,0.218,0.214,0.25,0.25,0.4,0.4,0.25,True
