,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dane Dunning,1,Yankee Stadium,6,641540,4.04,8.79,7.84,1.36,0.257,0.5,0.0,0.4,0.25,0.4,0.25,True
1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.667,0.4,0.25,0.0,0.5,0.25,False
2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.0,0.4,0.0,0.2,0.0,0.0,True
3,3,3,3,3,3,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Kyle Gibson,0,Citizens Bank Park,16,502043,4.36,8.01,6.85,1.17,0.238,0.333,0.2,0.0,0.0,0.0,0.0,True
4,4,4,4,4,4,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Dallas Keuchel,1,Fenway Park,3,572971,9.64,13.02,8.68,1.82,0.329,0.5,0.5,0.333,0.25,0.0,0.25,True
5,5,5,5,5,5,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Dallas Keuchel,1,Fenway Park,3,572971,9.64,13.02,8.68,1.82,0.329,0.273,0.2,0.0,0.25,0.4,0.0,True
6,6,6,6,6,6,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Max Scherzer,1,Citizens Bank Park,16,453286,1.98,6.49,11.29,0.9,0.2,0.109,0.2,0.0,0.667,0.0,0.0,True
7,7,7,7,7,7,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dane Dunning,1,Yankee Stadium,6,641540,4.04,8.79,7.84,1.36,0.257,0.0,0.25,0.25,0.25,0.0,0.25,True
8,8,8,8,8,8,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.5,0.0,0.25,0.6,0.0,0.5,False
9,9,9,9,9,9,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Wily Peralta,1,Minute Maid Park,32,503449,2.29,7.9,7.13,1.44,0.24,0.167,0.5,0.667,0.5,0.5,0.333,True
10,10,10,10,10,10,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Gerrit Cole,0,Yankee Stadium,6,543037,3.38,7.03,11.58,1.02,0.211,0.3,0.0,0.25,0.667,0.25,0.25,False
11,11,11,11,11,11,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Kyle Gibson,0,Citizens Bank Park,16,502043,4.36,8.01,6.85,1.17,0.238,0.2,0.2,0.333,0.25,0.0,0.2,True
12,12,12,12,12,12,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Justin Steele,0,Wrigley Field,24,657006,3.67,8.66,9.13,1.41,0.247,0.0,0.0,0.5,0.0,0.25,0.333,True
13,13,13,13,13,13,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Kyle Gibson,0,Citizens Bank Park,16,502043,4.36,8.01,6.85,1.17,0.238,0.3,0.667,0.0,0.5,0.0,0.333,False
14,14,14,14,14,14,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Tanner Houck,0,Fenway Park,3,656557,3.15,7.35,8.4,1.18,0.226,0.5,0.4,0.25,0.5,0.0,0.333,True
