,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Justin Verlander,1,Yankee Stadium,6,434378,1.73,6.09,8.79,0.85,0.188,0.182,0.4,0.4,0.0,0.0,0.25,False
1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Kyle Hendricks,1,Busch Stadium,15,543294,4.8,9.07,7.04,1.29,0.26,0.278,0.5,0.5,0.5,0.0,0.0,False
2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Kyle Hendricks,1,Busch Stadium,15,543294,4.8,9.07,7.04,1.29,0.26,0.317,0.5,0.333,0.0,0.25,0.4,False
3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Julio Urias,1,Truist Park,12,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.75,0.25,0.4,0.25,0.5,True
4,4,5,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Sandy Alcantara,0,loanDepot park,20,645261,1.88,6.14,8.01,0.93,0.195,0.313,0.5,0.0,0.2,0.25,0.25,True
5,5,6,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Julio Urias,1,Truist Park,12,628711,2.49,6.97,8.58,0.97,0.21,0.2,0.0,0.25,0.25,0.5,0.0,False
6,6,8,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Cal Quantrill,0,Progressive Field,7,615698,3.88,9.0,5.78,1.28,0.265,0.2,0.25,0.333,0.5,0.0,0.667,True
7,7,9,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Ian Anderson,0,Truist Park,12,666120,5.11,9.37,7.92,1.54,0.266,0.0,0.6,0.0,0.8,0.25,0.2,True
8,8,11,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Justin Verlander,1,Yankee Stadium,6,434378,1.73,6.09,8.79,0.85,0.188,0.333,0.0,0.333,0.667,0.0,0.2,True
9,9,12,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Kyle Hendricks,1,Busch Stadium,15,543294,4.8,9.07,7.04,1.29,0.26,0.16,0.0,0.25,0.2,0.0,0.333,True
