,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Kyle Freeland,1.0,Dodger Stadium,17.0,607536,4.56,9.5,6.66,1.36,0.272,0.235,0.25,0.667,0.25,0.0,0.5,False
1,1,1,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Dakota Hudson,1.0,Truist Park,12.0,641712,4.2,8.57,4.8,1.39,0.262,0.25,0.0,0.6,0.8,0.0,0.0,True
2,2,2,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Dakota Hudson,1.0,Truist Park,12.0,641712,4.2,8.57,4.8,1.39,0.262,0.333,0.5,0.5,0.5,0.75,0.0,False
3,3,3,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Kyle Freeland,1.0,Dodger Stadium,17.0,607536,4.56,9.5,6.66,1.36,0.272,0.2,0.667,0.0,0.25,0.0,0.25,True
4,4,4,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Jalen Beeks,1.0,Fenway Park,3.0,656222,2.35,7.24,10.76,1.2,0.219,0.167,0.333,0.25,0.2,0.0,0.25,True
5,5,5,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Kyle Freeland,1.0,Dodger Stadium,17.0,607536,4.56,9.5,6.66,1.36,0.272,0.222,0.75,0.333,0.4,0.0,0.2,True
6,6,7,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Johnny Cueto,0.0,Guaranteed Rate Field,23.0,456501,2.91,8.62,6.0,1.19,0.256,0.0,0.0,0.25,0.0,0.0,0.4,True
7,7,8,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Kyle Freeland,1.0,Dodger Stadium,17.0,607536,4.56,9.5,6.66,1.36,0.272,0.429,0.333,0.333,0.333,0.0,0.4,False
8,8,9,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Dylan Bundy,1.0,Guaranteed Rate Field,23.0,605164,5.01,9.74,7.14,1.3,0.272,0.389,0.4,0.333,0.333,1.0,0.6,True
9,9,10,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Alek Manoah,1.0,Oakland Coliseum,19.0,666201,2.56,7.16,8.15,1.02,0.217,0.0,0.25,0.333,0.6,0.25,0.0,True
10,10,11,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Chris Flexen,1.0,Petco Park,31.0,623167,3.92,9.0,6.23,1.37,0.257,0.5,0.333,0.0,0.0,0.5,0.6,True
