,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Eli Morgan,1,Yankee Stadium,6,669212,4.05,6.36,10.8,0.88,0.194,0.0,0.333,0.25,0.2,0.0,0.333,True
1,1,1,1,1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Nick Martinez,0,Petco Park,31,607259,3.35,8.53,8.1,1.32,0.248,0.0,0.75,0.0,0.333,0.8,0.0,True
2,2,2,2,2,2,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Jameson Taillon,0,Yankee Stadium,6,592791,3.95,8.5,7.76,1.14,0.246,0.25,0.4,0.333,0.25,0.25,0.667,False
3,3,3,3,3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Trevor Rogers,1,Truist Park,12,669432,5.85,10.16,8.52,1.6,0.283,0.6,0.0,0.25,0.0,0.0,0.5,True
4,4,4,4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Ross Stripling,1,Minute Maid Park,32,548389,3.16,8.27,7.29,1.1,0.241,0.0,0.0,0.0,0.6,0.0,0.0,False
5,5,5,5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Julio Urias,1,Petco Park,31,628711,2.49,6.97,8.58,0.97,0.21,0.214,0.0,0.5,0.75,0.0,0.0,True
6,6,6,6,6,6,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Zac Gallen,0,Chase Field,13,668678,3.12,6.62,8.67,1.02,0.203,0.2,0.6,0.0,0.5,0.4,0.333,True
7,7,7,7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Trevor Rogers,1,Truist Park,12,669432,5.85,10.16,8.52,1.6,0.283,0.25,0.5,0.5,0.0,0.0,0.4,False
8,8,8,8,8,8,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Nick Martinez,0,Petco Park,31,607259,3.35,8.53,8.1,1.32,0.248,0.25,0.25,0.0,0.0,0.0,0.0,True
9,9,9,9,9,9,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Corey Kluber,0,Tropicana Field,21,446372,4.05,9.08,8.03,1.15,0.26,0.0,0.0,0.2,0.0,0.2,0.5,True
