,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dallas Keuchel,0,Guaranteed Rate Field,23,572971,9.64,13.02,8.68,1.82,0.329,0.364,0.667,0.5,0.25,0.4,0.333,True
1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Jakob Junis,1,Busch Stadium,15,596001,3.05,7.84,7.69,1.1,0.23,0.333,0.0,0.333,0.25,0.0,0.0,True
2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Jakob Junis,1,Busch Stadium,15,596001,3.05,7.84,7.69,1.1,0.23,0.167,0.5,0.25,0.667,0.25,0.5,True
3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.4,0.333,0.2,0.333,0.25,0.0,False
4,4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Devin Smeltzer,0,Target Field,26,656970,4.02,8.47,5.31,1.21,0.25,0.333,0.4,0.25,0.0,0.333,0.2,False
5,5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Sean Manaea,1,Truist Park,12,640455,4.74,8.53,9.32,1.32,0.247,0.0,0.5,0.0,0.0,0.667,0.0,False
6,6,6,6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,0.23,0.5,0.0,0.5,0.333,0.25,0.5,False
7,7,7,7,7,7,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,1.0,0.333,0.0,0.0,0.25,0.4,True
8,8,8,8,8,8,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.2,0.75,0.25,0.5,0.25,True
9,9,9,9,9,9,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Julio Urias,0,Dodger Stadium,17,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.0,0.5,0.0,0.4,0.25,False
10,10,10,10,10,10,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dallas Keuchel,0,Guaranteed Rate Field,23,572971,9.64,13.02,8.68,1.82,0.329,0.167,0.0,0.6,0.5,0.25,0.0,True
11,11,11,11,11,11,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Jakob Junis,1,Busch Stadium,15,596001,3.05,7.84,7.69,1.1,0.23,0.2,0.0,0.25,0.2,0.25,0.0,True
