,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Wade Miley,1,Yankee Stadium,6,489119,2.84,7.11,5.68,1.21,0.214,0.286,0.25,0.0,0.4,0.2,0.333,True
1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Luis Castillo,1,Busch Stadium,15,622491,1.84,4.91,9.2,0.89,0.163,0.286,0.333,0.0,0.2,0.333,0.0,True
2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Luis Castillo,1,Busch Stadium,15,622491,1.84,4.91,9.2,0.89,0.163,0.25,0.0,0.333,0.25,0.4,0.0,False
3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Paul Blackburn,1,Progressive Field,7,621112,4.28,8.89,7.19,1.26,0.255,0.286,0.25,0.5,0.0,0.0,0.0,True
4,4,4,4,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.7,6.64,1.52,0.273,0.167,0.5,0.25,0.0,0.0,0.25,True
5,5,5,5,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.0,0.0,0.0,0.25,0.0,0.4,False
6,6,6,6,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.273,0.0,0.5,0.25,0.667,0.25,True
7,7,7,7,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Jakob Junis,0,Oracle Park,9,596001,3.05,7.84,7.69,1.1,0.23,0.333,0.25,0.5,0.333,0.5,0.0,True
8,8,8,8,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.222,0.25,0.25,0.25,0.0,0.667,True
9,9,9,10,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Wade Miley,1,Yankee Stadium,6,489119,2.84,7.11,5.68,1.21,0.214,0.3,0.4,0.0,0.75,0.0,0.5,True
10,10,10,11,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Luis Castillo,1,Busch Stadium,15,622491,1.84,4.91,9.2,0.89,0.163,0.308,0.0,0.333,0.2,0.25,0.25,True
11,11,11,12,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Drew Rasmussen,1,Target Field,26,656876,2.96,8.08,7.39,1.17,0.238,0.0,0.5,0.5,0.25,0.0,0.6,True
12,12,12,13,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Matt Bush,1,Guaranteed Rate Field,23,456713,8.1,10.8,10.8,1.8,0.308,0.0,0.0,0.0,0.5,0.5,0.0,True
13,13,13,14,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Triston McKenzie,0,Progressive Field,7,663474,3.16,6.33,8.51,0.96,0.197,0.2,0.0,0.5,0.333,0.0,0.0,True
14,14,14,15,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.7,6.64,1.52,0.273,0.333,0.75,0.333,0.0,0.5,0.5,True
